Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	tree_length
200	-984.9948	-1016.018	31.02314	0.08418747	11.87825	0.352131	0.178689	0.136139	0.377536	0.0675207	0.185728	0.137068	0.0799637	0.168165	0.0557999	0.178466	0.177271	0.148769	0.104911	0.156677	0.219854	0.038209	0.0705452	0.15727	0.147108	0.0286206	0.0949583	0.0104403	0.0982806	0.0967727	0.115555	0.0921796	0.659012	0.883374	1.06878	1.38884	0.0958278	0.0486279	0.0370484	0.102741	0.0183748	0.0505434	0.0373012	0.021761	0.0457638	0.0151852	0.0485671	0.0482418	0.0404853	0.02855	0.0426376	0.0598304	0.0103981	0.0191979	0.042799	0.0400333	0.0077887	0.0258416	0.00284118	0.0267457	0.0263354	0.0314466	0.0250854	3.674628
210	-982.4811	-1012.797	30.31582	0.07414192	13.48765	0.434777	0.212288	0.207075	0.385411	0.108256	0.177641	0.0636355	0.0716111	0.355707	0.0519896	0.272499	0.22622	0.156367	0.118369	0.128014	0.21398	0.118156	0.122047	0.166605	0.116218	0.0257693	0.171803	0.0755559	0.199662	0.054709	0.0750752	0.0825509	0.6782	0.891752	1.06608	1.36397	0.0989931	0.0483352	0.0471483	0.0877531	0.0246486	0.0404467	0.014489	0.0163049	0.0809898	0.0118373	0.0620444	0.0515074	0.0356028	0.0269512	0.0291472	0.0487205	0.0269026	0.0277885	0.0379339	0.0264614	0.00586734	0.0391174	0.0172031	0.0454604	0.0124565	0.0170936	0.0187958	4.391994
220	-986.8147	-1016.557	29.74185	0.1272544	7.858275	0.492117	0.240286	0.234385	0.525849	0.145399	0.145914	0.0716794	0.0810555	0.224566	0.0392744	0.420493	0.262698	0.152156	0.155327	0.144897	0.303761	0.20261	0.1111	0.14739	0.131546	0.00539404	0.102075	0.160313	0.168604	0.0552171	0.0952969	0.0934382	0.589844	0.850922	1.07697	1.48227	0.10017	0.0489097	0.0477087	0.107036	0.0295957	0.0297006	0.0145902	0.0164987	0.04571	0.00799424	0.0855906	0.0534718	0.0309711	0.0316166	0.0294936	0.0618301	0.0412408	0.0226142	0.0300009	0.0267759	0.00109795	0.0207772	0.0326315	0.0343191	0.0112393	0.0193975	0.0190192	4.912844
230	-986.4942	-1016.739	30.2448	0.1214273	8.235383	0.445776	0.147708	0.196782	0.596787	0.0752547	0.180379	0.0996288	0.0273817	0.158558	0.0445727	0.447701	0.170135	0.277679	0.209971	0.108343	0.229117	0.0929923	0.034263	0.167273	0.149292	0.0348114	0.12982	0.138449	0.0505877	0.077377	0.0988854	0.0261997	0.598223	0.855051	1.07611	1.47062	0.100952	0.0334505	0.0445638	0.13515	0.0170424	0.0408491	0.0225623	0.00620096	0.0359076	0.0100941	0.101388	0.0385294	0.0628842	0.0475507	0.0245358	0.0518865	0.0210593	0.00775932	0.0378813	0.0338091	0.0078835	0.0293996	0.0313537	0.0114563	0.0175231	0.0223939	0.00593328	4.415725
240	-983.7736	-1013.801	30.02768	0.07866065	12.71284	0.338303	0.27912	0.123188	0.403316	0.112921	0.232033	0.119719	0.0363303	0.409592	0.0498685	0.297177	0.20094	0.310671	0.234918	0.154313	0.258346	0.114982	0.093571	0.194344	0.167029	0.0926376	0.155059	0.0968078	0.0304599	0.018438	0.062525	0.0889997	0.669385	0.887935	1.06734	1.37534	0.0723549	0.0596971	0.026347	0.0862596	0.0241511	0.0496263	0.025605	0.00777017	0.0876017	0.0106657	0.0635589	0.0429761	0.066445	0.0502433	0.0330038	0.055254	0.0245918	0.0200126	0.0415655	0.0357235	0.0198129	0.0331634	0.0207048	0.00651464	0.00394345	0.0133726	0.0190349	4.67561
250	-981.9414	-1011.865	29.92329	0.08155349	12.26189	0.495205	0.248266	0.14047	0.394345	0.128762	0.194392	0.167336	0.0169248	0.46705	0.0952014	0.266155	0.14626	0.213184	0.182444	0.169486	0.18556	0.131112	0.0972254	0.088771	0.190461	0.0784245	0.213509	0.158579	0.178583	0.0485502	0.0167256	0.0641285	0.663902	0.885534	1.0681	1.38246	0.103662	0.0519698	0.0294047	0.0825488	0.026954	0.0406923	0.0350288	0.0035429	0.0977684	0.0199287	0.0557147	0.0306169	0.0446262	0.0381913	0.0354788	0.0388436	0.0274458	0.0203523	0.0185826	0.0398694	0.0164167	0.0446942	0.0331957	0.0373831	0.0101631	0.00350119	0.0134241	4.777111
260	-981.7797	-1011.608	29.82791	0.02788569	35.86069	0.440727	0.148261	0.153311	0.430395	0.0723066	0.172689	0.182634	0.0386468	0.427718	0.103905	0.272477	0.151205	0.280215	0.232816	0.194483	0.381189	0.212586	0.0655472	0.13433	0.207872	0.085594	0.131099	0.131921	0.145178	0.0528258	0.0606897	0.0155302	0.796439	0.938115	1.04598	1.21947	0.0894668	0.0300966	0.0311219	0.0873694	0.0146781	0.0350556	0.0370744	0.00784524	0.0868259	0.0210925	0.0553124	0.0306944	0.0568832	0.0472611	0.0394798	0.0773806	0.0431546	0.013306	0.0272688	0.0421977	0.0173754	0.0266129	0.0267797	0.0294709	0.0107235	0.0123199	0.0031526	4.926153
270	-981.2336	-1011.142	29.90868	0.1750462	5.712778	0.538345	0.255679	0.0802352	0.300911	0.154648	0.156484	0.182601	0.0220403	0.255133	0.132466	0.233733	0.137016	0.25392	0.210968	0.171596	0.282548	0.192637	0.100281	0.227647	0.118995	0.116788	0.118797	0.119541	0.0462986	0.0478686	0.216536	0.0245121	0.529234	0.819256	1.08189	1.56962	0.114585	0.0544203	0.0170778	0.0640478	0.0329163	0.0333071	0.0388659	0.00469121	0.054304	0.0281949	0.0497493	0.0291634	0.0540458	0.0449038	0.0365236	0.0601393	0.041002	0.0213444	0.0484538	0.0253276	0.0248579	0.0252854	0.0254439	0.00985449	0.0101887	0.046089	0.00521732	4.698225
280	-990.1518	-1020.064	29.91192	0.004968718	201.2592	0.574339	0.275329	0.261867	0.382964	0.07092	0.364432	0.128487	0.0478302	0.147271	0.249703	0.237978	0.346517	0.238691	0.0877239	0.129077	0.219608	0.177648	0.0176189	0.213994	0.111859	0.0557443	0.151324	0.112372	0.0694943	0.0682472	0.0974235	0.026599	0.911877	0.975717	1.02144	1.09096	0.118054	0.0565931	0.053826	0.0787173	0.0145774	0.0749079	0.0264101	0.00983136	0.0302712	0.0513258	0.0489157	0.0712255	0.0490623	0.0180314	0.0265314	0.0451398	0.0365151	0.00362153	0.0439859	0.0229922	0.0114581	0.0311043	0.0230978	0.0142844	0.014028	0.0200251	0.00546736	4.865061
290	-983.5536	-1014.069	30.51496	0.0005570389	1795.207	0.647622	0.093884	0.0864706	0.431819	0.0511838	0.307214	0.125235	0.0617191	0.269481	0.0782005	0.385744	0.0851381	0.201216	0.0714194	0.108811	0.188614	0.128228	0.0728761	0.180396	0.124103	0.041293	0.107247	0.150586	0.0300818	0.13379	0.0909874	0.0130752	0.970161	0.992179	1.0075	1.03016	0.151795	0.0220052	0.0202676	0.101213	0.0119969	0.0720073	0.0293536	0.0144662	0.063163	0.0183292	0.0904136	0.0199553	0.0471625	0.0167398	0.025504	0.0442088	0.0300551	0.0170813	0.0422827	0.0290881	0.00967858	0.0251373	0.0352955	0.0070508	0.0313587	0.0213263	0.00306466	4.266435
300	-986.2365	-1016.778	30.54151	0.001741947	574.0702	0.485859	0.168636	0.0930371	0.213559	0.107433	0.263245	0.138486	0.131583	0.252676	0.164575	0.330205	0.11868	0.186444	0.125766	0.119472	0.165697	0.0958954	0.086292	0.136676	0.0608596	0.102216	0.0918974	0.19046	0.255673	0.0451875	0.104604	0.00358363	0.947458	0.985956	1.01305	1.05354	0.114625	0.0397849	0.0219495	0.0503833	0.0253458	0.0621052	0.0326718	0.0310432	0.0596117	0.0388267	0.0779024	0.0279992	0.0439861	0.029671	0.028186	0.0390916	0.0226238	0.0203581	0.0322449	0.0143581	0.0241149	0.0216806	0.0449335	0.0603188	0.0106607	0.0246783	0.000845455	4.238696
310	-986.4139	-1016.738	30.32419	0.004871153	205.2902	0.58699	0.269207	0.112403	0.258012	0.129795	0.31581	0.160549	0.0485755	0.180492	0.116114	0.231579	0.239676	0.345936	0.126954	0.0949556	0.0909667	0.088104	0.177825	0.117946	0.0769825	0.145958	0.0764891	0.129603	0.181903	0.0486131	0.0990627	0.00239135	0.912731	0.97597	1.02125	1.09005	0.131822	0.0604566	0.0252426	0.0579425	0.0291486	0.0709225	0.0360549	0.0109088	0.0405337	0.0260761	0.0520064	0.0538249	0.077688	0.0285105	0.0213245	0.0204287	0.0197858	0.0399347	0.0264875	0.0172882	0.0327782	0.0171774	0.0291053	0.0408506	0.0109172	0.0222468	0.000537033	4.452893
320	-982.1592	-1012.134	29.97491	0.03014002	33.17848	0.719658	0.258365	0.11283	0.310634	0.0358287	0.267519	0.158557	0.0126931	0.270916	0.0923135	0.449307	0.130365	0.149434	0.185769	0.230401	0.175265	0.140977	0.201286	0.163765	0.126746	0.113656	0.0615314	0.117913	0.165496	0.0446924	0.0620822	0.0189	0.78876	0.93536	1.04745	1.22843	0.150654	0.0540864	0.0236199	0.0650283	0.00750041	0.0560026	0.0331924	0.00265719	0.0567138	0.019325	0.0940583	0.0272906	0.0312827	0.0388891	0.0482324	0.0366901	0.0295122	0.0421375	0.0342826	0.0265331	0.0237928	0.012881	0.024684	0.0346451	0.00935595	0.0129963	0.00395653	4.7769
330	-986.7097	-1016.57	29.85988	0.0803928	12.43893	0.442285	0.221466	0.086338	0.315975	0.0263222	0.1938	0.172377	0.0117829	0.319576	0.10036	0.29105	0.0734331	0.162459	0.201961	0.272231	0.372372	0.0927209	0.154974	0.390744	0.107965	0.117098	0.250884	0.130653	0.13967	0.0832763	0.0774905	0.0324183	0.666088	0.886493	1.0678	1.37962	0.0913495	0.0457415	0.0178322	0.0652614	0.00543658	0.0400274	0.0356027	0.00243364	0.0660052	0.0207283	0.0601134	0.0151668	0.0335543	0.041713	0.0562264	0.0769097	0.0191505	0.0320084	0.0807042	0.0222991	0.0241854	0.0518175	0.0269851	0.0288474	0.0171999	0.0160049	0.00669567	4.841683
340	-988.2497	-1018.908	30.65817	0.2055987	4.863843	0.323577	0.188125	0.0681993	0.330775	0.0489967	0.164624	0.144454	0.0280508	0.235541	0.104933	0.247233	0.0692621	0.0825525	0.078586	0.132205	0.241002	0.0781736	0.131643	0.331918	0.196848	0.0579309	0.193013	0.0411186	0.082318	0.0710326	0.111876	0.134201	0.496322	0.800623	1.08353	1.61952	0.0825833	0.0480132	0.0174058	0.0844203	0.0125049	0.0420153	0.0368674	0.00715912	0.0601148	0.0267811	0.0630988	0.0176771	0.0210691	0.0200567	0.0337415	0.0615085	0.0199515	0.033598	0.0847122	0.0502394	0.0147851	0.0492608	0.0104943	0.0210092	0.0181289	0.028553	0.0342509	3.918189
