Iteration	Posterior	Likelihood	Prior	tree_length
1850	-1316.611	-1448.429	131.8183	1.806938
1860	-1322.129	-1454.087	131.9586	1.66663
1870	-1326.421	-1458.327	131.9068	1.718497
1880	-1331.309	-1463.076	131.7667	1.858626
1890	-1328.125	-1459.86	131.7354	1.889837
1900	-1320.405	-1452.35	131.9458	1.679496
1910	-1326.293	-1458.135	131.8413	1.783971
1920	-1324.889	-1456.737	131.8482	1.777076
1930	-1319.174	-1450.888	131.7137	1.911574
1940	-1328.405	-1460.119	131.7137	1.91161
1950	-1320.395	-1452.249	131.8531	1.772171
1960	-1320.659	-1452.847	132.1878	1.437441
1970	-1318.373	-1450.66	132.2879	1.337368
1980	-1320.838	-1452.652	131.814	1.811312
1990	-1330.009	-1462.013	132.004	1.621232
2000	-1319.911	-1451.68	131.7696	1.855676
2010	-1327.127	-1458.652	131.5259	2.099358
2020	-1320.104	-1452.002	131.8977	1.727552
2030	-1329.726	-1461.787	132.0607	1.564618
2040	-1320.037	-1451.622	131.585	2.04033
2050	-1311.849	-1443.601	131.7511	1.874138
2060	-1320.967	-1452.825	131.8578	1.76751
2070	-1322.429	-1454.314	131.8855	1.739766
2080	-1310.328	-1442.35	132.0219	1.603345
2090	-1322.751	-1454.66	131.909	1.716253
2100	-1330.638	-1462.503	131.8646	1.760674
2110	-1323.702	-1455.639	131.9366	1.688721
2120	-1324.817	-1456.644	131.8274	1.797831
2130	-1333.561	-1465.274	131.7133	1.911936
2140	-1315.867	-1447.624	131.7575	1.867809
2150	-1335.349	-1467.425	132.0765	1.548792
2160	-1329.349	-1461.361	132.0121	1.613139
2170	-1318.211	-1450.037	131.8265	1.798779
2180	-1323.688	-1455.504	131.8158	1.809505
2190	-1312.494	-1444.457	131.9633	1.662022
2200	-1320.628	-1452.108	131.4799	2.145416
2210	-1322.756	-1454.389	131.6326	1.992694
2220	-1326.475	-1458.237	131.7623	1.862947
2230	-1326.501	-1458.04	131.5391	2.086171
2240	-1324.534	-1456.193	131.6593	1.965973
2250	-1330.018	-1461.933	131.9148	1.710487
2260	-1325.29	-1457.13	131.8401	1.785161
2270	-1329.899	-1461.694	131.7943	1.830975
2280	-1332.492	-1464.654	132.1612	1.464039
2290	-1319.275	-1450.744	131.4691	2.156229
2300	-1318.876	-1450.445	131.5688	2.056521
2310	-1312.287	-1444.294	132.0069	1.618353
2320	-1318.821	-1450.735	131.9142	1.711106
2330	-1313.777	-1445.633	131.8554	1.769896
2340	-1323.703	-1455.357	131.6536	1.971682
2350	-1315.343	-1447.295	131.9516	1.673722
2360	-1317.195	-1449.251	132.0563	1.568973
2370	-1313.647	-1445.653	132.0053	1.620023
2380	-1313.55	-1445.478	131.9283	1.697002
2390	-1323.387	-1455.291	131.9039	1.721379
2400	-1326.628	-1458.385	131.7572	1.868122
2410	-1330.183	-1461.955	131.7724	1.852859
2420	-1332.244	-1464.327	132.0837	1.54162
2430	-1324.864	-1457.036	132.1719	1.453353
2440	-1317.648	-1449.63	131.9822	1.64308
2450	-1325.661	-1457.407	131.746	1.879329
2460	-1322.391	-1454.29	131.8981	1.727216
2470	-1327.312	-1458.983	131.6705	1.954773
2480	-1321.948	-1453.525	131.5766	2.048657
2490	-1322.854	-1454.776	131.9223	1.702974
2500	-1330.731	-1462.099	131.3681	2.257182
2510	-1322.224	-1454.031	131.8068	1.818477
2520	-1329.05	-1460.792	131.7418	1.88345
2530	-1315.914	-1447.795	131.8803	1.744967
2540	-1320.232	-1452.165	131.9332	1.692096
2550	-1319.802	-1451.716	131.9144	1.710833
2560	-1321.478	-1453.338	131.8605	1.76477
2570	-1321.447	-1453.335	131.8883	1.736951
2580	-1323.387	-1454.91	131.523	2.102244
2590	-1326.78	-1458.8	132.0199	1.605359
2600	-1327.63	-1459.234	131.6041	2.021175
2610	-1323.289	-1455.215	131.9261	1.699207
2620	-1325.496	-1457.183	131.6871	1.938133
2630	-1316.063	-1447.817	131.7538	1.871471
2640	-1322.877	-1454.58	131.7037	1.921612
2650	-1321.03	-1453.061	132.0318	1.593506
2660	-1346.908	-1478.902	131.9947	1.630585
2670	-1334.474	-1466.265	131.7919	1.83342
2680	-1313.416	-1445.301	131.8854	1.739909
2690	-1307.598	-1439.51	131.9122	1.713056
2700	-1329.713	-1461.656	131.9427	1.682604
2710	-1315.303	-1447.298	131.9957	1.629546
2720	-1331.526	-1463.241	131.7149	1.910384
2730	-1334.595	-1466.235	131.6407	1.984576
2740	-1335.606	-1467.633	132.0267	1.598579
2750	-1331.672	-1463.535	131.8631	1.762152
2760	-1321.851	-1453.675	131.824	1.80132
2770	-1324.4	-1456.091	131.6907	1.934548
2780	-1319.675	-1451.489	131.8144	1.8109
2790	-1325.146	-1457.053	131.9069	1.718399
2800	-1320.795	-1452.669	131.8745	1.750829
2810	-1328.629	-1460.345	131.7156	1.909679
2820	-1328.627	-1460.763	132.1365	1.488795
2830	-1331.72	-1463.664	131.9435	1.681739
2840	-1324.66	-1456.474	131.8149	1.810416
2850	-1319.607	-1451.553	131.9464	1.678887
2860	-1314.984	-1447.047	132.0626	1.562696
2870	-1328.762	-1460.596	131.8343	1.790942
2880	-1331.01	-1463.109	132.0989	1.526336
2890	-1333.886	-1465.942	132.0558	1.569504
2900	-1322.804	-1455.003	132.1982	1.427059
2910	-1315.116	-1446.898	131.7826	1.842686
2920	-1322.812	-1454.634	131.8219	1.803408
2930	-1320.846	-1452.736	131.8905	1.734732
2940	-1319.255	-1450.979	131.724	1.901329
2950	-1322.753	-1454.499	131.746	1.879309
2960	-1315.613	-1447.522	131.9092	1.716096
2970	-1323.573	-1455.072	131.4994	2.125878
2980	-1321.034	-1452.884	131.8499	1.77539
2990	-1321.472	-1453.392	131.9199	1.70536
3000	-1325.534	-1457.541	132.0065	1.618731
3010	-1323.864	-1455.673	131.809	1.81628
3020	-1325.672	-1457.539	131.8669	1.758401
3030	-1324.504	-1456.38	131.876	1.749265
3040	-1317.582	-1449.349	131.767	1.858267
3050	-1321.988	-1453.916	131.9273	1.697982
3060	-1307.376	-1439.005	131.6281	1.997166
3070	-1321.763	-1453.467	131.7046	1.920698
3080	-1319.625	-1451.481	131.8555	1.769753
3090	-1315.929	-1447.823	131.8933	1.732004
3100	-1319.253	-1451.123	131.8705	1.754814
3110	-1323.185	-1455.178	131.9924	1.632836
3120	-1323.653	-1455.368	131.7151	1.910132
3130	-1324.773	-1456.475	131.7023	1.923012
3140	-1322.256	-1454.19	131.9348	1.69048
3150	-1336.946	-1469.095	132.1496	1.475689
3160	-1331.455	-1462.887	131.4321	2.193132
3170	-1315.839	-1447.702	131.8629	1.762414
3180	-1323.414	-1455.139	131.7252	1.900041
3190	-1317.679	-1449.723	132.0435	1.581792
3200	-1317.64	-1449.638	131.9982	1.627043
3210	-1313.479	-1445.343	131.8646	1.760691
3220	-1308.744	-1440.597	131.8536	1.771662
3230	-1307.347	-1439.088	131.7405	1.884826
3240	-1321.313	-1453.439	132.1257	1.49953
3250	-1326.214	-1458.079	131.8652	1.760036
3260	-1319.261	-1450.968	131.7072	1.918058
3270	-1311.512	-1443.263	131.7513	1.873962
3280	-1320.707	-1452.747	132.0407	1.584574
3290	-1317.793	-1449.731	131.9386	1.686688
3300	-1307.1	-1438.977	131.8772	1.748042
3310	-1321.72	-1453.597	131.8772	1.748042
3320	-1326.92	-1458.916	131.9968	1.6285
3330	-1321.872	-1453.688	131.8157	1.809607
3340	-1334.548	-1466.348	131.7997	1.825615
3350	-1332.965	-1464.869	131.9037	1.721615
3360	-1336.676	-1468.567	131.8906	1.734708
3370	-1344.757	-1476.819	132.0622	1.563095
3380	-1338.184	-1470.353	132.1686	1.456704
3390	-1330.026	-1461.588	131.5618	2.063467
3400	-1333.528	-1465.501	131.9731	1.652163
3410	-1331.387	-1463.331	131.944	1.681293
3420	-1328.104	-1460.291	132.1872	1.438081
3430	-1321.447	-1453.275	131.8283	1.796953
3440	-1326.399	-1458.072	131.6734	1.951835
3450	-1319.81	-1451.501	131.6913	1.933952
3460	-1331.56	-1463.219	131.6588	1.966435
3470	-1333.681	-1465.69	132.009	1.616234
3480	-1327.628	-1459.375	131.7463	1.878937
3490	-1321.684	-1453.447	131.7635	1.861784
3500	-1321.973	-1453.468	131.4958	2.12945
3510	-1322.493	-1454.481	131.988	1.637236
3520	-1314.949	-1446.836	131.8871	1.738155
3530	-1318.439	-1450.461	132.0221	1.603131
