Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
179	1	-1324.701	-1456.327	131.6261	1.999216
180	0	-1323.375	-1455.236	131.8611	1.764214
181	1	-1320.403	-1452.265	131.8617	1.763562
182	0	-1326.105	-1458.047	131.9427	1.682532
183	1	-1316.537	-1448.27	131.7334	1.891865
184	0	-1321.212	-1453.094	131.8823	1.742939
185	1	-1323.755	-1455.63	131.8751	1.750176
186	0	-1313.823	-1445.819	131.9955	1.629783
187	1	-1317.411	-1449.354	131.9431	1.682173
188	0	-1315.651	-1447.637	131.9858	1.639448
189	1	-1320.591	-1452.246	131.6555	1.969822
190	0	-1322.521	-1454.255	131.7339	1.891417
191	1	-1315.083	-1447.005	131.9213	1.703947
192	0	-1320.151	-1451.971	131.8198	1.805526
193	1	-1322.535	-1454.43	131.8942	1.731082
194	0	-1315.38	-1447.512	132.1323	1.492957
195	1	-1321.713	-1453.854	132.1407	1.484574
196	0	-1327.967	-1459.882	131.9151	1.710155
197	1	-1320.949	-1452.796	131.8472	1.778047
198	0	-1331.586	-1463.453	131.8677	1.757604
199	1	-1312.39	-1444.521	132.1319	1.493374
200	0	-1322.972	-1455.031	132.059	1.566248
201	1	-1322.902	-1454.705	131.8032	1.822059
202	0	-1337.726	-1469.215	131.4888	2.136511
203	1	-1315.638	-1447.203	131.5648	2.060479
204	0	-1319.184	-1451.083	131.8992	1.726064
205	1	-1325.089	-1456.721	131.632	1.993252
206	0	-1313.528	-1445.3	131.7721	1.853185
207	1	-1316.96	-1448.811	131.8509	1.77442
208	0	-1317.127	-1449.095	131.9682	1.657043
209	1	-1327.424	-1459.275	131.8509	1.77442
210	0	-1325.236	-1457.347	132.111	1.514245
211	1	-1325.825	-1457.739	131.9136	1.711699
212	0	-1342.499	-1474.02	131.5208	2.10448
213	1	-1319.01	-1450.745	131.7347	1.890592
214	0	-1319.4	-1451.345	131.9446	1.680651
215	1	-1316.356	-1448.198	131.8419	1.783335
216	0	-1322.638	-1454.421	131.7827	1.842577
217	1	-1329.75	-1461.658	131.9088	1.716502
218	0	-1331.501	-1463.251	131.7498	1.875436
219	1	-1312.297	-1444.002	131.705	1.920257
220	0	-1318.967	-1450.69	131.7237	1.901616
221	1	-1330.684	-1462.269	131.5855	2.039819
222	0	-1324.351	-1456.022	131.6706	1.954728
223	1	-1328.309	-1459.954	131.6441	1.981131
224	0	-1322.236	-1454.013	131.7763	1.84899
225	1	-1321.964	-1453.823	131.8598	1.765441
226	0	-1328.473	-1460.686	132.2131	1.412201
227	1	-1318.997	-1450.895	131.8985	1.72674
228	0	-1323.936	-1455.843	131.9073	1.717931
229	1	-1321.149	-1453.048	131.8985	1.72674
230	0	-1325.564	-1457.245	131.6803	1.945023
231	1	-1330.633	-1462.203	131.5698	2.055517
232	0	-1321.636	-1453.552	131.916	1.709247
233	1	-1322.764	-1454.575	131.8103	1.814943
234	0	-1318.122	-1449.994	131.8725	1.752772
235	1	-1332.582	-1464.433	131.8515	1.773795
236	0	-1319.908	-1451.576	131.6681	1.957195
237	1	-1322.076	-1453.996	131.9198	1.705485
238	0	-1323.48	-1455.109	131.6285	1.996747
239	1	-1342.014	-1473.63	131.6165	2.008792
240	0	-1332.489	-1464.113	131.6232	2.002049
241	1	-1322.035	-1453.725	131.6895	1.935813
242	0	-1317.242	-1449.09	131.8479	1.777412
243	1	-1333.5	-1465.572	132.072	1.553245
244	0	-1331.112	-1463.037	131.9248	1.700464
245	1	-1329.915	-1461.725	131.8096	1.815709
246	0	-1314.151	-1446.126	131.9752	1.650044
247	1	-1330.475	-1462.422	131.9465	1.678799
248	0	-1327.816	-1459.87	132.054	1.571271
249	1	-1326.84	-1458.743	131.9029	1.722393
250	0	-1322.42	-1454.399	131.9792	1.646109
251	1	-1328.75	-1460.776	132.0262	1.599116
252	0	-1318.483	-1450.347	131.864	1.761261
253	1	-1329.236	-1461.022	131.7856	1.839725
254	0	-1325.5	-1457.536	132.0352	1.590052
255	1	-1331.042	-1462.817	131.7758	1.849436
256	0	-1326.157	-1457.999	131.8419	1.783337
257	1	-1323.307	-1454.949	131.6428	1.982508
258	0	-1331.316	-1463.27	131.9542	1.671069
259	1	-1330.377	-1462.401	132.0237	1.601605
260	0	-1317.144	-1449.064	131.9198	1.705511
261	1	-1325.35	-1457.088	131.7379	1.887378
262	0	-1335.781	-1467.654	131.8734	1.751857
263	1	-1319.314	-1451.508	132.1933	1.431949
264	0	-1311.825	-1443.724	131.8996	1.725716
265	1	-1323.563	-1455.378	131.815	1.810309
266	0	-1315.08	-1447.152	132.0725	1.552747
267	1	-1325.386	-1457.231	131.8454	1.779907
268	0	-1319.926	-1451.884	131.9577	1.667539
