Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
232	0	-709.3787	-737.3342	27.95551	6.826444
233	1	-709.2164	-736.867	27.65059	7.131366
234	0	-707.4385	-735.3461	27.90759	6.874361
235	1	-706.1496	-734.0809	27.93124	6.850712
236	0	-706.0772	-734.5688	28.49158	6.290377
237	1	-706.3968	-735.4261	29.02928	5.752678
238	0	-710.421	-737.1666	26.7456	8.036356
239	1	-707.9483	-736.0414	28.0931	6.688853
240	0	-707.7817	-735.4515	27.66979	7.112168
241	1	-708.0604	-737.1391	29.0787	5.703258
242	0	-711.2959	-739.0557	27.75981	7.022142
243	1	-709.8223	-739.1443	29.32196	5.459996
244	0	-718.4603	-746.0599	27.59965	7.1823
245	1	-706.1926	-733.9373	27.7447	7.037249
246	0	-713.8757	-741.584	27.70824	7.073712
247	1	-701.1029	-729.7766	28.67372	6.108232
248	0	-703.7927	-732.1268	28.33405	6.4479
249	1	-706.9152	-734.6343	27.71908	7.062873
250	0	-711.8132	-740.5224	28.70916	6.072791
251	1	-704.6374	-732.3811	27.74372	7.038236
252	0	-711.8406	-739.8788	28.03822	6.743734
253	1	-709.0347	-738.2963	29.26165	5.520306
254	0	-711.1372	-740.5883	29.45112	5.330832
255	1	-706.185	-734.403	28.21797	6.563979
256	0	-707.6162	-735.8216	28.20542	6.57653
257	1	-707.25	-736.0837	28.83371	5.948248
258	0	-699.1105	-727.8021	28.69156	6.090397
259	1	-705.7208	-733.8134	28.09259	6.689364
260	0	-707.929	-736.6363	28.70728	6.074669
261	1	-704.9261	-733.1051	28.17903	6.602924
262	0	-703.9816	-731.5983	27.61671	7.165241
263	1	-710.3266	-738.8285	28.50195	6.279999
264	0	-706.5178	-735.2428	28.72504	6.056918
265	1	-708.3753	-736.9211	28.54576	6.236189
266	0	-707.9673	-735.6434	27.67613	7.105819
267	1	-714.958	-742.8145	27.85644	6.925509
268	0	-705.4045	-734.5495	29.14504	5.636916
269	1	-705.1431	-734.4007	29.25761	5.524345
270	0	-711.3776	-740.8315	29.45386	5.328094
271	1	-704.8962	-734.044	29.14775	5.634205
272	0	-712.3981	-741.6403	29.24218	5.539776
273	1	-706.1009	-734.4497	28.34883	6.433127
274	0	-710.5006	-736.3767	25.8761	8.905851
275	1	-710.7472	-739.8792	29.13194	5.650015
276	0	-705.6733	-735.2395	29.56617	5.215788
277	1	-710.9217	-738.4695	27.5478	7.234158
278	0	-702.239	-731.2247	28.98571	5.796245
279	1	-708.5601	-737.3101	28.75	6.031949
280	0	-706.5247	-734.5617	28.03705	6.744901
281	1	-700.2515	-728.9295	28.67807	6.103881
282	0	-710.1105	-736.8768	26.76632	8.015634
