Iteration	Posterior	Likelihood	Prior	tree_length
1810	-709.3071	-738.4095	29.10245	5.679504
1820	-715.1099	-743.3067	28.19688	6.585068
1830	-705.802	-734.8613	29.0593	5.722657
1840	-707.6276	-736.6888	29.06121	5.720739
1850	-705.3039	-733.5601	28.25616	6.525791
1860	-709.581	-737.8372	28.25616	6.525791
1870	-704.4729	-732.7881	28.31521	6.466748
1880	-709.5362	-737.5525	28.01629	6.765667
1890	-710.5716	-738.8505	28.27887	6.503081
1900	-710.6584	-739.1277	28.46937	6.312588
1910	-706.0298	-734.5501	28.52023	6.261724
1920	-705.0584	-734.0321	28.97367	5.808286
1930	-703.1919	-732.0714	28.87955	5.902403
1940	-708.8099	-738.1504	29.34054	5.441415
1950	-701.0862	-729.8527	28.7665	6.015451
1960	-708.063	-735.7816	27.71861	7.063343
1970	-708.8708	-736.4781	27.60738	7.174573
1980	-706.5904	-735.3793	28.78881	5.993145
1990	-708.0686	-736.3069	28.23826	6.543691
2000	-708.4746	-736.8324	28.35779	6.424162
2010	-706.9348	-735.3775	28.4427	6.339253
2020	-715.6462	-743.9775	28.33128	6.450677
2030	-708.0554	-736.0879	28.03249	6.749465
2040	-708.2554	-736.2964	28.04104	6.740914
2050	-703.6372	-732.8416	29.2044	5.577554
2060	-708.9719	-737.5956	28.62371	6.158246
2070	-707.6848	-735.886	28.2012	6.580752
2080	-706.3079	-734.312	28.00409	6.777859
2090	-700.9752	-729.2888	28.3136	6.468355
2100	-706.0881	-735.0159	28.9278	5.854149
2110	-706.9746	-736.0491	29.07451	5.707442
2120	-705.8633	-734.2929	28.42959	6.352366
2130	-711.6175	-740.2729	28.65541	6.126541
2140	-707.4836	-735.9603	28.47678	6.305171
2150	-713.6234	-742.0894	28.46602	6.31593
2160	-701.5628	-729.9888	28.42594	6.356018
2170	-707.1186	-735.4028	28.28425	6.497699
2180	-701.4561	-729.7576	28.30149	6.480459
2190	-699.5736	-728.6395	29.06592	5.716037
2200	-701.3712	-729.4857	28.1145	6.667454
2210	-705.3798	-734.6224	29.24262	5.539335
2220	-704.1717	-732.518	28.34629	6.435662
2230	-704.6248	-732.8182	28.19339	6.588565
2240	-707.0316	-735.8463	28.81473	5.967219
2250	-701.903	-730.8565	28.95343	5.82852
2260	-709.2695	-737.9894	28.71988	6.062078
2270	-709.8844	-738.5757	28.69124	6.090712
