Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
274	0	-926.7071	-1058.196	131.4888	2.136498
275	1	-911.4676	-1043.174	131.7064	1.91883
276	0	-928.9337	-1060.465	131.531	2.094325
277	1	-929.7365	-1061.465	131.7283	1.896933
278	0	-923.8999	-1055.431	131.531	2.094325
279	1	-918.8339	-1050.56	131.7263	1.898983
280	0	-939.8112	-1071.537	131.7253	1.899944
281	1	-930.5538	-1062.131	131.5773	2.047959
282	0	-937.1252	-1068.722	131.5965	2.028756
283	1	-936.2521	-1067.872	131.6199	2.005342
284	0	-933.4416	-1064.767	131.3254	2.299846
285	1	-939.01	-1070.65	131.6405	1.984785
286	0	-928.0207	-1059.811	131.7903	1.834986
287	1	-929.149	-1060.939	131.79	1.835242
288	0	-919.5103	-1051.081	131.5706	2.054724
289	1	-925.0425	-1056.831	131.789	1.836292
290	0	-920.2601	-1051.802	131.5422	2.083113
291	1	-919.8558	-1051.582	131.7265	1.898808
292	0	-934.8798	-1066.854	131.9744	1.650887
293	1	-931.1873	-1062.914	131.7265	1.898808
294	0	-917.683	-1049.488	131.8049	1.820378
295	1	-935.6473	-1067.259	131.612	2.013282
296	0	-925.3959	-1057.051	131.6555	1.9698
297	1	-926.1595	-1058.103	131.9433	1.68197
298	0	-925.4158	-1056.983	131.5676	2.05768
299	1	-928.0227	-1059.328	131.3056	2.319632
300	0	-928.7799	-1060.159	131.3789	2.246376
301	1	-928.1606	-1060.055	131.8942	1.731121
302	0	-930.1014	-1061.854	131.7522	1.873129
303	1	-933.5442	-1064.901	131.3569	2.268331
304	0	-920.0071	-1051.428	131.4205	2.204749
305	1	-932.5128	-1063.873	131.3598	2.265496
306	0	-936.373	-1067.871	131.4978	2.127436
307	1	-920.1869	-1051.918	131.7308	1.894462
308	0	-935.7556	-1067.251	131.4955	2.129791
309	1	-926.9718	-1058.748	131.7765	1.848798
310	0	-932.8502	-1064.356	131.5054	2.119906
311	1	-921.4169	-1052.728	131.3112	2.31406
312	0	-929.0667	-1060.618	131.5517	2.073587
313	1	-924.3741	-1056.224	131.8496	1.775665
314	0	-928.9056	-1060.501	131.5955	2.029754
315	1	-920.0744	-1051.811	131.737	1.888329
316	0	-930.8641	-1062.312	131.4476	2.177673
317	1	-936.3679	-1067.809	131.4415	2.18375
318	0	-949.8478	-1081.338	131.4899	2.135407
319	1	-914.6777	-1046.187	131.5098	2.115526
320	0	-938.7763	-1070.255	131.4786	2.146707
321	1	-928.1964	-1060.015	131.8181	1.807166
322	0	-928.0213	-1059.604	131.5831	2.042188
323	1	-917.0093	-1048.539	131.53	2.095276
324	0	-925.5601	-1057.173	131.6129	2.012401
325	1	-920.9701	-1052.777	131.807	1.818314
326	0	-925.4004	-1056.78	131.3799	2.245351
327	1	-916.3535	-1048.226	131.8725	1.752812
328	0	-926.2811	-1057.651	131.3696	2.255656
329	1	-920.7196	-1051.972	131.2522	2.373077
330	0	-916.4546	-1047.97	131.5152	2.110045
331	1	-917.9097	-1049.574	131.6639	1.961371
332	0	-923.8964	-1055.438	131.542	2.08329
333	1	-918.4692	-1050.231	131.7622	1.863061
334	0	-931.5419	-1063.502	131.9602	1.665079
335	1	-930.0406	-1061.499	131.4583	2.166973
336	0	-926.2559	-1057.918	131.6623	1.962957
