Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
328	0	-988.0462	-1018.184	30.1381	4.643852
329	1	-980.398	-1010.848	30.45043	4.331526
330	0	-982.5522	-1013.244	30.69143	4.090526
331	1	-982.6593	-1012.661	30.0019	4.78005
332	0	-982.8868	-1013.185	30.29813	4.483821
333	1	-982.7844	-1013.071	30.28679	4.495161
334	0	-983.2554	-1012.91	29.65416	5.127795
335	1	-985.3091	-1016.204	30.89519	3.886759
336	0	-979.1153	-1009.212	30.09627	4.685682
337	1	-983.2253	-1013.522	30.29655	4.485406
338	0	-983.8706	-1014.301	30.43066	4.351292
339	1	-980.0215	-1010.318	30.29655	4.485406
340	0	-980.3214	-1010.771	30.44982	4.332131
341	1	-983.9954	-1014.145	30.14964	4.632311
342	0	-987.5654	-1017.395	29.82915	4.9528
343	1	-983.1279	-1013.483	30.35531	4.426642
344	0	-987.3458	-1017.535	30.18918	4.592771
345	1	-983.1436	-1012.981	29.83723	4.944727
346	0	-995.7797	-1026.345	30.5658	4.216155
347	1	-982.5703	-1012.124	29.55335	5.228599
348	0	-989.0022	-1019.338	30.33543	4.446525
349	1	-978.4738	-1008.626	30.15179	4.63016
350	0	-987.3626	-1017.279	29.91657	4.865382
351	1	-986.7447	-1016.571	29.82676	4.95519
352	0	-984.9219	-1015.565	30.64277	4.139179
353	1	-992.084	-1021.524	29.4404	5.341553
354	0	-988.2806	-1018.426	30.14494	4.637015
355	1	-986.9154	-1017.251	30.33575	4.4462
356	0	-979.8056	-1010.141	30.33522	4.446732
357	1	-985.0925	-1016.017	30.9249	3.857053
358	0	-983.7534	-1013.952	30.19812	4.583835
359	1	-987.2129	-1017.943	30.72976	4.052192
360	0	-977.9405	-1008.39	30.44903	4.332922
361	1	-986.3055	-1016.797	30.49193	4.290027
362	0	-984.9929	-1014.84	29.84695	4.935007
363	1	-979.4088	-1010.451	31.04191	3.740045
364	0	-987.2471	-1017.691	30.4437	4.338258
365	1	-987.7812	-1018.573	30.79205	3.989905
366	0	-983.9422	-1014.143	30.20061	4.581341
367	1	-990.7444	-1020.843	30.09879	4.683164
368	0	-984.6525	-1015.16	30.50796	4.273996
369	1	-985.846	-1015.665	29.81871	4.963243
370	0	-986.5975	-1016.149	29.55196	5.229994
371	1	-984.4387	-1014.059	29.61996	5.16199
372	0	-982.7007	-1012.602	29.90152	4.880437
373	1	-991.6952	-1022.282	30.58635	4.1956
374	0	-984.9263	-1015.12	30.19338	4.588576
375	1	-991.7168	-1021.683	29.96619	4.81576
376	0	-990.232	-1020.554	30.32198	4.459977
377	1	-995.1278	-1025.603	30.47524	4.306714
378	0	-990.0369	-1020.505	30.46775	4.314205
379	1	-983.9065	-1014.356	30.44899	4.332965
380	0	-986.6302	-1016.39	29.75956	5.022393
381	1	-987.3346	-1017.2	29.86545	4.916502
382	0	-990.3701	-1020.782	30.41213	4.369825
383	1	-985.3251	-1015.509	30.18406	4.59789
384	0	-986.5774	-1016.941	30.36369	4.418265
385	1	-988.0102	-1017.82	29.80949	4.97246
386	0	-986.1944	-1016.306	30.11137	4.67058
387	1	-985.3944	-1015.682	30.28806	4.493894
388	0	-984.4193	-1014.771	30.3516	4.430357
389	1	-989.5332	-1019.903	30.36952	4.412434
390	0	-986.9577	-1017.268	30.30988	4.472068
391	1	-982.9346	-1013.092	30.15758	4.624374
392	0	-991.1221	-1021.11	29.98829	4.793667
393	1	-988.8713	-1019.582	30.71109	4.070864
394	0	-979.7617	-1010.064	30.30263	4.479326
395	1	-984.7522	-1015.101	30.34927	4.432684
396	0	-994.4177	-1024.933	30.51558	4.266377
397	1	-987.3279	-1016.794	29.46572	5.316236
398	0	-982.5616	-1012.962	30.40045	4.3815
399	1	-996.5468	-1026.642	30.0956	4.686356
400	0	-992.1486	-1022.752	30.60362	4.178338
401	1	-984.7085	-1015.043	30.33466	4.447296
402	0	-986.3181	-1016.182	29.86364	4.918317
403	1	-984.1629	-1014.142	29.97917	4.802783
404	0	-982.6168	-1012.123	29.50661	5.275347
405	1	-985.7588	-1015.796	30.03736	4.744597
406	0	-980.448	-1010.964	30.51638	4.265577
407	1	-991.8317	-1022.313	30.48106	4.300898
408	0	-979.4929	-1009.61	30.11669	4.665259
409	1	-985.0745	-1015.218	30.14365	4.638298
410	0	-990.2467	-1020.175	29.92871	4.853248
411	1	-980.8638	-1011.421	30.55673	4.225221
412	0	-981.4357	-1011.956	30.52046	4.261493
413	1	-988.1446	-1019.164	31.01988	3.762069
414	0	-984.1445	-1014.135	29.99023	4.791721
415	1	-979.9693	-1010.334	30.36503	4.416927
416	0	-983.3059	-1013.278	29.9717	4.810248
417	1	-980.5846	-1010.507	29.92237	4.859581
418	0	-985.7994	-1015.715	29.91552	4.866429
419	1	-984.3034	-1014.441	30.13727	4.644682
420	0	-985.8927	-1016.575	30.68201	4.099947
421	1	-983.3968	-1013.992	30.59503	4.186928
422	0	-993.5625	-1023.155	29.59243	5.189526
423	1	-981.1193	-1011.552	30.43284	4.349111
424	0	-991.0922	-1021.098	30.00593	4.776021
425	1	-987.1157	-1017.414	30.29866	4.483289
426	0	-987.5029	-1017.509	30.00593	4.776021
427	1	-988.5879	-1018.705	30.11682	4.665137
428	0	-999.5961	-1029.266	29.67008	5.111874
429	1	-985.228	-1015.099	29.87072	4.911235
430	0	-997.3889	-1027.408	30.01924	4.762714
431	1	-982.4771	-1012.749	30.27192	4.510032
432	0	-987.7215	-1017.931	30.20916	4.572789
433	1	-987.1642	-1017.944	30.78002	4.001933
434	0	-983.9096	-1014.223	30.31349	4.468458
435	1	-985.1596	-1015.656	30.49621	4.285742
436	0	-982.993	-1013.317	30.32362	4.458332
437	1	-990.4925	-1020.688	30.19586	4.586092
438	0	-982.9729	-1013.377	30.40363	4.378322
439	1	-990.5154	-1020.922	30.40702	4.374936
440	0	-987.2112	-1016.773	29.56221	5.219746
441	1	-986.3126	-1016.72	30.40702	4.374936
442	0	-986.3533	-1017.408	31.05509	3.726866
443	1	-977.3751	-1007.645	30.26965	4.512304
444	0	-981.038	-1011.593	30.55501	4.226942
445	1	-979.9019	-1010.255	30.35307	4.428886
446	0	-987.0521	-1016.556	29.50346	5.278498
447	1	-983.5484	-1014.334	30.78524	3.996713
448	0	-983.0125	-1013.403	30.38999	4.391966
449	1	-981.5853	-1011.943	30.35806	4.423895
450	0	-989.7142	-1020.331	30.61726	4.164698
451	1	-985.1202	-1015.778	30.65761	4.124344
452	0	-991.8318	-1022.359	30.52762	4.254335
453	1	-987.5786	-1018.061	30.48233	4.299621
454	0	-989.7488	-1019.922	30.17351	4.608447
455	1	-987.0282	-1017.184	30.15574	4.626212
456	0	-981.3187	-1011.558	30.23965	4.542308
457	1	-984.6323	-1014.978	30.34556	4.436396
458	0	-980.539	-1011.178	30.63887	4.143086
459	1	-983.128	-1013.086	29.95826	4.823694
460	0	-986.5755	-1017.374	30.79876	3.983196
461	1	-985.2017	-1015.122	29.92011	4.861839
462	0	-988.342	-1018.041	29.69857	5.083386
463	1	-978.8648	-1008.933	30.06831	4.713641
464	0	-990.1733	-1020.01	29.83685	4.945105
465	1	-983.8885	-1013.717	29.82799	4.953966
466	0	-989.5521	-1019.55	29.99746	4.784493
467	1	-986.7657	-1017.261	30.49562	4.28633
468	0	-984.2041	-1014.789	30.58478	4.197172
469	1	-988.5858	-1018.535	29.94874	4.833216
470	0	-984.2053	-1014.582	30.37641	4.405543
471	1	-980.1818	-1010.822	30.64046	4.141493
472	0	-984.2442	-1014.936	30.69135	4.090605
473	1	-987.8969	-1018.464	30.56744	4.214515
474	0	-983.4267	-1013.953	30.52605	4.255901
475	1	-989.98	-1020.28	30.30053	4.48142
476	0	-990.1482	-1019.889	29.74116	5.040797
477	1	-985.6369	-1015.789	30.1522	4.62975
478	0	-989.2033	-1019.007	29.80322	4.978737
479	1	-985.0176	-1014.865	29.84729	4.934662
480	0	-980.8404	-1011.161	30.3201	4.461857
481	1	-984.7687	-1015.224	30.45552	4.326434
482	0	-981.7989	-1012.231	30.43243	4.349523
483	1	-989.5817	-1019.571	29.98933	4.792625
484	0	-983.2615	-1014.434	31.17264	3.609317
485	1	-988.3968	-1018.897	30.50019	4.281762
486	0	-985.7938	-1016.279	30.48488	4.297074
487	1	-987.5165	-1017.462	29.94591	4.836043
488	0	-982.5438	-1013.049	30.50541	4.276543
489	1	-990.7641	-1021.855	31.09077	3.691184
490	0	-989.5546	-1020.137	30.58193	4.200024
491	1	-987.1215	-1017.384	30.26297	4.518985
492	0	-989.9883	-1020.989	31.00054	3.781413
493	1	-987.2762	-1017.596	30.31948	4.46247
494	0	-985.952	-1016.8	30.8478	3.934155
495	1	-987.657	-1017.639	29.98157	4.800385
496	0	-982.516	-1012.747	30.23054	4.551418
497	1	-987.8114	-1018.231	30.41923	4.362723
498	0	-989.6403	-1020.528	30.88802	3.893938
499	1	-988.3859	-1018.322	29.93574	4.846213
500	0	-982.0401	-1012.762	30.72204	4.059912
501	1	-991.9804	-1022.038	30.05747	4.724482
502	0	-984.1916	-1014.29	30.0985	4.683457
503	1	-987.3845	-1017.528	30.14365	4.638298
504	0	-987.6858	-1017.192	29.50629	5.275667
505	1	-985.7968	-1016.238	30.44152	4.340431
506	0	-984.1469	-1014.295	30.14808	4.633878
507	1	-987.9881	-1018.419	30.43094	4.351015
508	0	-989.0277	-1019.282	30.25473	4.527219
509	1	-987.9499	-1018.035	30.08531	4.696641
510	0	-983.9724	-1013.88	29.9077	4.874252
511	1	-985.2467	-1016.11	30.86309	3.918858
512	0	-984.6451	-1014.541	29.89595	4.886
513	1	-985.1386	-1015.127	29.98891	4.793045
514	0	-1000.363	-1030.744	30.38115	4.400803
515	1	-983.269	-1013.949	30.68008	4.101868
516	0	-986.2197	-1015.782	29.56187	5.220083
517	1	-983.7165	-1014.109	30.39299	4.388964
518	0	-979.8291	-1010.273	30.44402	4.337936
519	1	-985.166	-1015.564	30.39845	4.383507
520	0	-985.5872	-1015.634	30.04659	4.735361
521	1	-983.7797	-1013.599	29.81974	4.962212
522	0	-990.1534	-1021.19	31.03695	3.745
523	1	-987.5219	-1017.845	30.32305	4.458907
524	0	-988.286	-1018.42	30.1341	4.64785
525	1	-994.701	-1025.439	30.73826	4.043695
526	0	-983.2669	-1013.505	30.23779	4.544164
527	1	-989.0276	-1018.765	29.73743	5.044528
528	0	-981.88	-1012.44	30.55984	4.222116
529	1	-984.2737	-1014.692	30.41845	4.363503
