Iteration	Posterior	Likelihood	Prior	tree_length
1870	-984.9263	-1015.12	30.19338	4.588576
1880	-990.232	-1020.554	30.32198	4.459977
1890	-990.0369	-1020.505	30.46775	4.314205
1900	-986.6302	-1016.39	29.75956	5.022393
1910	-990.3701	-1020.782	30.41213	4.369825
1920	-986.5774	-1016.941	30.36369	4.418265
1930	-986.1944	-1016.306	30.11137	4.67058
1940	-984.4193	-1014.771	30.3516	4.430357
1950	-986.9577	-1017.268	30.30988	4.472068
1960	-991.1221	-1021.11	29.98829	4.793667
1970	-979.7617	-1010.064	30.30263	4.479326
1980	-994.4177	-1024.933	30.51558	4.266377
1990	-982.5616	-1012.962	30.40045	4.3815
2000	-992.1486	-1022.752	30.60362	4.178338
2010	-986.3181	-1016.182	29.86364	4.918317
2020	-982.6168	-1012.123	29.50661	5.275347
2030	-980.448	-1010.964	30.51638	4.265577
2040	-979.4929	-1009.61	30.11669	4.665259
2050	-990.2467	-1020.175	29.92871	4.853248
2060	-981.4357	-1011.956	30.52046	4.261493
2070	-984.1445	-1014.135	29.99023	4.791721
2080	-983.3059	-1013.278	29.9717	4.810248
2090	-985.7994	-1015.715	29.91552	4.866429
2100	-985.8927	-1016.575	30.68201	4.099947
2110	-993.5625	-1023.155	29.59243	5.189526
2120	-991.0922	-1021.098	30.00593	4.776021
2130	-987.5029	-1017.509	30.00593	4.776021
2140	-999.5961	-1029.266	29.67008	5.111874
2150	-997.3889	-1027.408	30.01924	4.762714
2160	-987.7215	-1017.931	30.20916	4.572789
2170	-983.9096	-1014.223	30.31349	4.468458
2180	-982.993	-1013.317	30.32362	4.458332
2190	-982.9729	-1013.377	30.40363	4.378322
2200	-987.2112	-1016.773	29.56221	5.219746
2210	-986.3533	-1017.408	31.05509	3.726866
2220	-981.038	-1011.593	30.55501	4.226942
2230	-987.0521	-1016.556	29.50346	5.278498
2240	-983.0125	-1013.403	30.38999	4.391966
2250	-989.7142	-1020.331	30.61726	4.164698
2260	-991.8318	-1022.359	30.52762	4.254335
2270	-989.7488	-1019.922	30.17351	4.608447
2280	-981.3187	-1011.558	30.23965	4.542308
2290	-980.539	-1011.178	30.63887	4.143086
2300	-986.5755	-1017.374	30.79876	3.983196
2310	-988.342	-1018.041	29.69857	5.083386
2320	-990.1733	-1020.01	29.83685	4.945105
2330	-989.5521	-1019.55	29.99746	4.784493
2340	-984.2041	-1014.789	30.58478	4.197172
2350	-984.2053	-1014.582	30.37641	4.405543
2360	-984.2442	-1014.936	30.69135	4.090605
2370	-983.4267	-1013.953	30.52605	4.255901
2380	-990.1482	-1019.889	29.74116	5.040797
2390	-989.2033	-1019.007	29.80322	4.978737
2400	-980.8404	-1011.161	30.3201	4.461857
2410	-981.7989	-1012.231	30.43243	4.349523
2420	-983.2615	-1014.434	31.17264	3.609317
2430	-985.7938	-1016.279	30.48488	4.297074
2440	-982.5438	-1013.049	30.50541	4.276543
2450	-989.5546	-1020.137	30.58193	4.200024
2460	-989.9883	-1020.989	31.00054	3.781413
2470	-985.952	-1016.8	30.8478	3.934155
2480	-982.516	-1012.747	30.23054	4.551418
2490	-989.6403	-1020.528	30.88802	3.893938
2500	-982.0401	-1012.762	30.72204	4.059912
2510	-984.1916	-1014.29	30.0985	4.683457
2520	-987.6858	-1017.192	29.50629	5.275667
2530	-984.1469	-1014.295	30.14808	4.633878
2540	-989.0277	-1019.282	30.25473	4.527219
2550	-983.9724	-1013.88	29.9077	4.874252
2560	-984.6451	-1014.541	29.89595	4.886
2570	-1000.363	-1030.744	30.38115	4.400803
2580	-986.2197	-1015.782	29.56187	5.220083
2590	-979.8291	-1010.273	30.44402	4.337936
2600	-985.5872	-1015.634	30.04659	4.735361
2610	-990.1534	-1021.19	31.03695	3.745
2620	-988.286	-1018.42	30.1341	4.64785
2630	-983.2669	-1013.505	30.23779	4.544164
2640	-981.88	-1012.44	30.55984	4.222116
2650	-981.6162	-1011.295	29.67838	5.103571
2660	-996.0331	-1026.281	30.24815	4.533805
2670	-994.7007	-1025.477	30.77587	4.006085
2680	-983.2645	-1013.516	30.25104	4.530913
2690	-988.4571	-1018.908	30.45069	4.33126
2700	-992.0893	-1022.673	30.58349	4.198465
2710	-988.8595	-1018.929	30.06952	4.712431
2720	-988.6461	-1019.14	30.49384	4.288117
2730	-984.2207	-1014.445	30.22393	4.55802
2740	-987.3107	-1017.377	30.06603	4.715927
2750	-981.0636	-1011.182	30.11867	4.663284
2760	-981.8053	-1011.849	30.04408	4.737872
2770	-988.202	-1018.909	30.7072	4.07475
