Iteration	Posterior	Likelihood	Prior	alpha_inv	alpha_morpho	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	relative_bl[1]	relative_bl[2]	relative_bl[3]	relative_bl[4]	relative_bl[5]	relative_bl[6]	relative_bl[7]	relative_bl[8]	relative_bl[9]	relative_bl[10]	relative_bl[11]	relative_bl[12]	relative_bl[13]	relative_bl[14]	relative_bl[15]	relative_bl[16]	relative_bl[17]	relative_bl[18]	relative_bl[19]	relative_bl[20]	relative_bl[21]	relative_bl[22]	relative_bl[23]	relative_bl[24]	relative_bl[25]	relative_bl[26]	relative_bl[27]	tree_length
200	-706.1163	-733.505	27.38871	0.3042723	3.28653	0.886241	0.664428	0.113713	0.33737	0.0494176	0.288422	0.0961162	0.0607539	0.682246	0.114273	0.413152	0.347641	0.1997	0.16393	0.152094	0.0239034	0.584985	0.368838	0.341423	0.155405	0.0508329	0.495725	0.0884303	0.171175	0.121465	0.101843	0.0154501	0.410282	0.746252	1.08361	1.75986	0.125017	0.093727	0.0160408	0.0475908	0.00697105	0.040686	0.0135586	0.0085702	0.0962404	0.0161198	0.0582809	0.0490397	0.0281706	0.0231247	0.0214551	0.00337191	0.0825204	0.0520298	0.0481626	0.021922	0.00717069	0.069929	0.0124743	0.0241467	0.0171343	0.0143664	0.00217945	7.088974
210	-710.5706	-738.7865	28.21595	0.293135	3.411398	0.45806	0.555955	0.332952	0.421331	0.0861122	0.282242	0.101037	0.0813801	0.723991	0.0636445	0.18696	0.27137	0.195421	0.154297	0.173431	0.0848577	0.192822	0.26365	0.382487	0.0723657	0.221987	0.485102	0.0126945	0.0346515	0.0838532	0.299387	0.0508252	0.418781	0.752031	1.08391	1.74528	0.0730224	0.0886285	0.0530782	0.0671673	0.0137277	0.0449941	0.016107	0.0129734	0.115416	0.010146	0.0298045	0.0432609	0.0311534	0.0245976	0.0276478	0.0135277	0.030739	0.0420303	0.0609748	0.0115363	0.0353884	0.0773334	0.00202372	0.00552403	0.0133676	0.0477273	0.0081024	6.272866
220	-709.6482	-737.3887	27.74054	0.354292	2.822531	0.900448	0.383995	0.0457793	0.534634	0.108056	0.384281	0.112658	0.0213784	0.778898	0.00965615	0.161031	0.123532	0.0232002	0.254127	0.125218	0.124036	0.238471	0.210776	0.31309	0.140461	0.403104	0.508992	0.0113562	0.115905	0.15134	0.409131	0.093562	0.375049	0.721203	1.08149	1.82226	0.134654	0.0574231	0.0068459	0.0799499	0.0161588	0.0574659	0.016847	0.00319695	0.116477	0.00144399	0.0240807	0.0184731	0.00346939	0.0380025	0.0187253	0.0185485	0.0356613	0.0315197	0.0468199	0.0210047	0.0602806	0.0761154	0.00169823	0.0173325	0.0226316	0.0611819	0.0139914	6.687117
230	-703.6732	-731.5125	27.83924	0.2277832	4.390139	1.01419	0.2632	0.0936937	0.683137	0.00887428	0.291415	0.196806	0.0453819	0.47657	0.0268804	0.19654	0.288076	0.13123	0.320942	0.167389	0.195287	0.180842	0.225772	0.257774	0.335291	0.21637	0.371566	0.0381203	0.0485776	0.114767	0.31026	0.21598	0.47459	0.787705	1.08416	1.65354	0.151035	0.0391962	0.013953	0.101734	0.00132157	0.0433981	0.0293087	0.00675836	0.0709717	0.00400308	0.0292691	0.0429008	0.019543	0.0477952	0.0249279	0.0290825	0.0269314	0.0336224	0.0383882	0.0499323	0.0322223	0.0553344	0.00567696	0.00723428	0.0170913	0.0462045	0.0321641	6.714928
240	-708.0146	-735.671	27.65636	0.4049865	2.469218	0.883582	0.490245	0.106274	0.595164	0.0276588	0.378201	0.127639	0.0455897	0.149316	0.0951489	0.339317	0.536837	0.265485	0.126802	0.0465187	0.0347023	0.197805	0.213963	0.224579	0.292114	0.470658	0.354786	0.0656675	0.0287561	0.134459	0.324872	0.16447	0.343519	0.697141	1.07827	1.88107	0.131474	0.0729465	0.0158131	0.0885581	0.00411552	0.0562748	0.0189921	0.00678357	0.0222176	0.0141578	0.050489	0.0798793	0.0395032	0.0188677	0.0069218	0.00516356	0.0294326	0.0318369	0.0334164	0.0434654	0.070032	0.0527907	0.00977107	0.00427879	0.0200069	0.0483396	0.0244725	6.72061
250	-706.3845	-735.5229	29.13835	0.009302406	107.4991	0.695646	0.250638	0.0943585	0.258367	0.209071	0.417776	0.143985	0.0255632	0.185353	0.0887733	0.225741	0.324935	0.176722	0.248976	0.0614778	0.315339	0.11129	0.36676	0.0285075	0.160645	0.37863	0.162917	0.0602891	0.0943412	0.30687	0.0558009	0.185533	0.880204	0.966085	1.0286	1.12511	0.123466	0.0444842	0.0167471	0.045856	0.0371068	0.0741487	0.025555	0.00453706	0.0328973	0.0157559	0.0400655	0.0576707	0.0313654	0.0441893	0.0109113	0.0559676	0.0197523	0.0650941	0.00505963	0.0285119	0.0672009	0.0289152	0.0107004	0.0167441	0.0544645	0.00990378	0.0329292	5.634304
260	-707.6818	-735.7536	28.07173	0.2607246	3.835464	0.802495	0.0520886	0.121775	0.468679	0.261174	0.194466	0.167085	0.01136	0.56574	0.143608	0.365179	0.0654703	0.444976	0.21245	0.205252	0.599555	0.122894	0.593304	0.0461163	0.259874	0.14632	0.0282837	0.123006	0.140252	0.117069	0.0237899	0.167238	0.445089	0.76932	1.08439	1.7012	0.124427	0.00807638	0.0188814	0.0726691	0.0404952	0.0301521	0.0259066	0.00176138	0.0877184	0.0222665	0.0566214	0.0101512	0.0689938	0.0329406	0.0318245	0.0929615	0.0190548	0.0919923	0.00715036	0.0402936	0.022687	0.00438541	0.0190721	0.0217462	0.0181517	0.00368864	0.0259304	6.449499
270	-722.7926	-750.1972	27.40467	0.07086347	14.11164	1.28731	0.0894782	0.245374	0.335589	0.361953	0.258165	0.142642	0.00242513	0.598748	0.108976	0.408827	0.0946837	0.199537	0.0818172	0.208145	0.38602	0.101348	0.124211	0.608342	0.290934	0.0470045	0.146141	0.498836	0.204517	0.0465976	0.166013	0.262785	0.6848	0.894575	1.06511	1.35551	0.176189	0.0122465	0.0335833	0.0459307	0.0495391	0.035334	0.0195228	0.000331917	0.0819483	0.0149152	0.0559545	0.012959	0.0273099	0.011198	0.0284879	0.0528329	0.0138711	0.0170003	0.0832613	0.039819	0.00643332	0.0200017	0.0682736	0.0279914	0.00637763	0.0227215	0.0359663	7.306419
280	-714.4774	-742.7883	28.31092	0.5564467	1.797117	0.948676	0.120003	0.128448	0.773197	0.14316	0.0621799	0.121691	0.0621307	0.578991	0.149424	0.208542	0.0967257	0.214381	0.0969384	0.219413	0.278975	0.0682052	0.0547108	0.212068	0.205065	0.165083	0.10305	0.35175	0.144213	0.0802445	0.277866	0.049458	0.267792	0.631546	1.06397	2.03669	0.160396	0.0202893	0.0217171	0.130727	0.0242045	0.010513	0.0205748	0.0105046	0.097892	0.0252637	0.0352589	0.0163537	0.0362461	0.0163897	0.0370968	0.0471673	0.0115317	0.00925014	0.0358551	0.034671	0.0279112	0.017423	0.0594715	0.0243827	0.0135672	0.0469798	0.00836204	5.914591
290	-713.2852	-741.5668	28.28163	0.05855658	17.0775	0.398337	0.296333	0.0671754	0.843365	0.0697811	0.196383	0.0962588	0.0773238	0.631535	0.0609695	0.341651	0.178303	0.300956	0.345779	0.239324	0.213	0.331942	0.0222131	0.0296043	0.167978	0.135149	0.0726247	0.383671	0.247624	0.137585	0.492279	0.0646151	0.711348	0.905636	1.06102	1.32199	0.0618366	0.0460019	0.0104281	0.130921	0.0108326	0.0304859	0.0149429	0.0120035	0.0980376	0.00946472	0.0530369	0.0276793	0.0467195	0.0536778	0.037152	0.0330654	0.0515296	0.0034483	0.00459568	0.0260764	0.0209802	0.011274	0.05956	0.0384404	0.0213584	0.07642	0.0100307	6.441762
